,voltage,cmean,cstd,lmean,lstd,vmean,vstd
0,150.0,663.0646,0.010528057750585344,423.352,0.05362835071117997,0.25,0.0
1,149.99,662.9866,0.010992724866931987,423.54400000000004,0.10688311372710252,0.25,0.0
2,149.98,662.8882000000001,0.018175808097582655,423.64000000000004,0.05157518783290989,0.25,0.0
3,149.97,662.7982000000001,0.01664812301732343,423.515,0.08151686941977429,0.25,0.0
4,149.96,662.7026,0.01945353438325508,423.575,0.05903388857258104,0.25,0.0
5,149.95000000000002,662.6148,0.011694443124813917,423.5849999999999,0.10101980003940143,0.25,0.0
6,149.94,662.5375,0.011757976016322193,423.67600000000004,0.06959885056521416,0.25,0.0
7,149.93,662.4563999999999,0.021680405900266323,423.68,0.09757048734119948,0.25,0.0
8,149.92000000000002,662.3374000000001,0.01019019136229766,423.65199999999993,0.07626270385975714,0.25,0.0
9,149.91,662.2504000000001,0.020347972872005297,423.659,0.149093930124606,0.25,0.0
10,149.9,662.1443,0.014792227688898268,423.686,0.0595315042645501,0.25,0.0
11,149.89000000000001,662.0620999999999,0.019439392994636203,423.713,0.14248157775656642,0.25,0.0
12,149.88,661.9711,0.014250964879622647,423.59799999999996,0.06764613810115037,0.25,0.0
13,149.87,661.8706999999998,0.015466415227853128,423.524,0.06681317235395513,0.25,0.0
14,149.86,661.7759,0.021243587267698802,423.6719999999999,0.08986656775464615,0.25,0.0
15,149.85,661.6786,0.020862406380868278,423.735,0.10288342918079729,0.25,0.0
16,149.84,661.5848,0.016448708155966673,423.87,0.06356099432828761,0.25,0.0
17,149.83,661.5362000000001,0.024477744994192155,424.149,0.08407734534344721,0.25,0.0
18,149.82,661.4079,0.017114029332681996,424.101,0.07381734213583716,0.25,0.0
19,149.81,661.3508,0.029731464814233104,424.1360000000001,0.12117755567760853,0.25,0.0
20,149.8,661.2609,0.0124615408357122,424.158,0.1419718281913703,0.25,0.0
21,149.79,661.1645,0.014235518957886318,424.308,0.09907572861201147,0.25,0.0
22,149.78,661.0785,0.00989191589129038,424.4049999999999,0.09666954018717493,0.25,0.0
23,149.77,660.9665,0.017499999999995453,424.38700000000006,0.09306449376642353,0.25,0.0
24,149.76,660.859,0.013704014010512647,424.34799999999996,0.07222188034107631,0.25,0.0
25,149.75,660.8047,0.011260994627490669,424.38500000000005,0.0780064099930315,0.25,0.0
26,149.74,660.7042,0.010581115253142278,424.283,0.10276672613253922,0.25,0.0
27,149.73,660.622,0.012173742234802975,424.093,0.10383159442096267,0.25,0.0
28,149.72,660.5277,0.010817116066665864,424.149,0.06503076195155366,0.25,0.0
29,149.71,660.4449999999999,0.013175735273597819,424.10099999999994,0.09984487968844807,0.25,0.0
30,149.70000000000002,660.329,0.008671793355456554,424.163,0.08683893136145913,0.25,0.0
31,149.69,660.2316,0.011001818031602205,424.18999999999994,0.07848566748139248,0.25,0.0
32,149.68,660.0915,0.03086178867142915,424.31500000000005,0.08789197915623757,0.25,0.0
33,149.67000000000002,659.9548,0.011906300852910097,424.16700000000003,0.07362744053679583,0.25,0.0
34,149.66,659.8554999999999,0.008028075734567607,424.247,0.05899999999999133,0.25,0.0
35,149.65,659.7577,0.015741982086126673,424.35300000000007,0.06899999999999837,0.25,0.0
36,149.64000000000001,659.6378,0.009239047569985304,424.35200000000003,0.09474175425862472,0.25,0.0
37,149.63,659.5029999999999,0.01251399216878967,424.27200000000005,0.11487384384619843,0.25,0.0
38,149.62,659.3711000000001,0.01325481044753304,424.1070000000001,0.1002047903046513,0.25,0.0
39,149.61,659.2602,0.014545102268465865,424.2,0.07848566748138595,0.25,0.0
40,149.6,659.151,0.012222929272480108,424.254,0.0934023554306785,0.25,0.0
41,149.59,659.0406,0.013770983988107817,424.392,0.062257529665103,0.25,0.0
42,149.58,658.9652,0.01181355154051474,424.38199999999995,0.05306599664569234,0.25,0.0
43,149.57,658.8518999999999,0.011648605066720701,424.375,0.08674675786449561,0.25,0.0
44,149.56,658.7384,0.010307278981373505,424.485,0.08237111144085087,0.25,0.0
45,149.55,658.6030000000001,0.012946041866148785,424.197,0.11722201158485601,0.25,0.0
46,149.54,658.5406,0.021345725567434443,424.17300000000006,0.09154780172129018,0.25,0.0
47,149.53,658.4079,0.017935718552641287,424.212,0.055281099844344816,0.25,0.0
48,149.52,658.2411,0.007395268757795489,424.19500000000005,0.07539893898458593,0.25,0.0
49,149.51,658.1554,0.014554724318919743,423.96399999999994,0.09971960689854036,0.25,0.0
50,149.5,658.048,0.011532562594670165,423.837,0.08161494961096792,0.25,0.0
51,149.49,657.9396,0.02395078286820905,423.776,0.11110355529865303,0.25,0.0
52,149.48,657.7944,0.009645724441431972,423.86899999999997,0.07930321557162476,0.25,0.0
53,149.47,657.6924999999999,0.015134397906758764,423.821,0.09071383576941103,0.25,0.0
54,149.46,657.6022,0.014302447343017043,423.83600000000007,0.09002221947941212,0.25,0.0
55,149.45000000000002,657.5178999999999,0.015533512159197944,423.90999999999997,0.13046072205840376,0.25,0.0
56,149.44,657.3952,0.021027600909298366,423.74899999999997,0.10396634070699005,0.25,0.0
57,149.43,657.2792999999999,0.018297814077114085,423.669,0.12234786471368794,0.25,0.0
58,149.42000000000002,657.1473000000001,0.009381364506299953,423.64199999999994,0.0647765389628184,0.25,0.0
59,149.41,657.0534,0.01593863231271585,423.74300000000005,0.07694803441284717,0.25,0.0
60,149.4,656.9507,0.013092364186806793,423.726,0.10641428475539504,0.25,0.0
61,149.39000000000001,656.8484000000001,0.01549322432549491,423.698,0.10447966309286623,0.25,0.0
62,149.38,656.6923,0.01669760461862336,423.5759999999999,0.06740919818540725,0.25,0.0
63,149.37,656.5834000000001,0.015114231703917217,423.5849999999999,0.11943617542436713,0.25,0.0
64,149.36,656.5084999999999,0.01787875834613244,423.75600000000003,0.0807712820252392,0.25,0.0
65,149.35,656.4317,0.011118003417888865,423.87999999999994,0.08613942186943625,0.25,0.0
66,149.34,656.3093,0.027077850727132396,423.8450000000001,0.09881801455199773,0.25,0.0
67,149.33,656.1881999999999,0.010851727973014738,423.78900000000004,0.11536463929646158,0.25,0.0
68,149.32,656.0707,0.015466415227840924,423.77799999999996,0.061773780845922686,0.25,0.0
69,149.31,655.9546999999999,0.013476275449844638,423.7950000000001,0.10278618584226908,0.25,0.0
70,149.3,655.8199999999999,0.018226354545001357,423.74800000000005,0.09053176238204874,0.25,0.0
71,149.29,655.6886999999999,0.02324672019875068,423.66400000000004,0.09393614852654109,0.25,0.0
72,149.28,655.5921,0.011013173929428806,423.662,0.07413501197141027,0.25,0.0
73,149.27,655.4466,0.030123744787128218,423.671,0.09648315915225895,0.25,0.0
74,149.26,655.3371,0.012573384588097442,423.83000000000004,0.10158740079359725,0.25,0.0
75,149.25,655.2553,0.02135907301359525,423.802,0.08529947244853982,0.25,0.0
76,149.24,655.1951,0.01808562965453139,423.8,0.04242640687120116,0.25,0.0
77,149.23,655.0733000000001,0.017944637081885186,423.774,0.10565983153497949,0.25,0.0
78,149.22,654.9869,0.009944345126756038,423.712,0.10283968105746007,0.25,0.0
79,149.21,654.8172000000001,0.04250835212048427,423.27699999999993,0.21963833909406472,0.25,0.0
80,149.20000000000002,654.7409,0.014067338056646898,423.462,0.10342146779078605,0.25,0.0
81,149.19,654.6233999999998,0.01473227748855472,423.61,0.1319090595827217,0.25,0.0
82,149.18,654.5339,0.010309704166463768,423.695,0.06438167441127259,0.25,0.0
83,149.17000000000002,654.4141,0.01659789143236409,423.503,0.1174776574502561,0.25,0.0
84,149.16,654.3127000000001,0.01972840591633427,423.503,0.12042009799032481,0.25,0.0
85,149.15,654.2019999999999,0.020346989949386912,423.442,0.10467091286503115,0.25,0.0
86,149.14000000000001,654.116,0.02255659548780059,423.48100000000005,0.1180211845390419,0.25,0.0
87,149.13,653.9673999999999,0.014001428498549254,423.31100000000004,0.09191844211038999,0.25,0.0
88,149.12,653.8817000000001,0.019047572023738083,423.27700000000004,0.07887331614684373,0.25,0.0
89,149.11,653.7762,0.013377593206540417,423.299,0.07569015788066656,0.25,0.0
90,149.1,653.6479,0.013823530663333491,423.226,0.06167657578043114,0.25,0.0
91,149.09,653.5004999999999,0.01422146265332655,423.27,0.15224979474535544,0.25,0.0
92,149.08,653.3833999999999,0.010965400129500003,423.428,0.0812157620169908,0.25,0.0
93,149.07,653.2665999999999,0.021795412361320713,423.325,0.07762087348130092,0.25,0.0
94,149.06,653.1363,0.021927380144467115,423.245,0.06931810730249605,0.25,0.0
95,149.05,653.0087,0.016763352886576516,423.271,0.060901559914340694,0.25,0.0
